feature,xgb_importance,rf_importance,importance
filing_status_encoded,0.35158935,0.1919671971118146,0.2877405019011376
total_property_value,0.19006006,0.2009229031004563,0.19440520720871507
income_to_asset_ratio,0.079402596,0.1629197070347898,0.11280944324921104
property_count,0.086285435,0.12558366468847001,0.10200473039865576
declared_income,0.05320331,0.10969789390582226,0.07580114405281696
max_vehicle_value,0.08087015,0.03235256928676468,0.061463120116687225
total_vehicle_value,0.06990125,0.033915128192345996,0.055506803693787535
tax_to_income_ratio,0.045001745,0.042184332698081146,0.0438747805861609
tax_paid,0.020472182,0.06286849779035612,0.03743070847897118
vehicle_count,0.012753986,0.022841216706878914,0.016788878362336546
foreign_travel_count,0.0047523757,0.00387000267272733,0.004399426506347626
avg_bank_balance,0.0017337358,0.006940807782349264,0.003816564677563717
luxury_destination_count,0.0028963392,0.0023216572031845547,0.002666466451268689
business_count,0.0010774608,0.0016144218249588315,0.0012922452474149705
phone_count,0.0,0.0,0.0
total_utility_spend,0.0,0.0,0.0
avg_monthly_electricity,0.0,0.0,0.0
directorship_count,0.0,0.0,0.0
business_class_trips,0.0,0.0,0.0
avg_monthly_gas,0.0,0.0,0.0
total_share_value,0.0,0.0,0.0
graph_degree_centrality,0.0,0.0,0.0
avg_monthly_transactions,0.0,0.0,0.0
graph_betweenness,0.0,0.0,0.0
utility_to_income_ratio,0.0,0.0,0.0
